date,open,high,low,close,adj_close,volume,dividend,split,DIFF,DEA,MACD,MACDS
2018/4/23,125.02400000000002,125.83266666666667,123.71266666666666,124.68666666666667,112.24933333333334,8781385.133333333,0.0,1.0,-0.34319676700502555,-0.2383682584140631,-0.10482850859096246,-0.20965701718192492
2018/4/24,125.13633333333334,125.847,121.32566666666666,122.52633333333333,110.284,11809400.0,0.0,1.0,-0.4935615375626696,-0.2894069142437844,-0.20415462331888523,-0.40830924663777046
2018/4/25,122.74833333333332,123.78866666666666,120.968,122.921,110.643,10124849.033333333,0.0,1.0,-0.5742606802590586,-0.34637766744683923,-0.2278830128122194,-0.4557660256244388
2018/4/26,123.37066666666666,124.916,122.43933333333332,124.10733333333333,111.75233333333334,9994840.1,0.0,1.0,-0.5363059457494757,-0.38436332310736654,-0.15194262264210912,-0.30388524528421823
2018/4/27,124.23433333333332,125.13366666666667,123.14866666666667,124.21933333333332,111.89066666666666,10637726.766666668,0.0,1.0,-0.4915231087889822,-0.40579528024368966,-0.08572782854529254,-0.17145565709058508
2018/4/3,121.11366666666666,122.69533333333334,119.98933333333333,122.35133333333333,109.881,10331570.166666666,0.0,1.0,-0.5998496825801851,-0.44460616071098874,-0.15524352186919638,-0.31048704373839275
2018/4/30,124.82566666666666,125.71033333333334,123.05566666666667,123.46966666666667,111.135,11061399.666666666,0.0,1.0,-0.588673260155474,-0.4734195805998858,-0.11525367955558824,-0.23050735911117648
2018/4/4,119.86,124.11933333333333,119.49199999999999,123.787,111.14899999999999,10122225.133333333,0.011000000000000001,1.0,-0.5478939366775393,-0.4883144518154165,-0.05957948486212278,-0.11915896972424556
2018/4/5,124.40733333333333,125.76033333333334,123.63333333333334,124.82333333333332,112.11833333333334,8832470.366666667,0.030333333333333334,1.0,-0.4270300533827367,-0.47605757212888056,0.04902751874614386,0.09805503749228772
2018/4/6,123.63433333333334,124.59666666666666,120.83500000000001,121.891,109.489,10055617.666666666,0.0,1.0,-0.5613880169546377,-0.493123661094032,-0.0682643558606057,-0.1365287117212114
2018/4/9,122.83433333333333,124.57966666666667,121.67033333333333,122.2,109.74533333333333,9432139.5,0.019666666666666666,1.0,-0.6356070708419566,-0.5216203430436169,-0.11398672779833963,-0.22797345559667925
2018/5/1,123.10633333333334,123.875,121.30366666666667,123.13000000000001,110.73766666666667,9357974.133333333,0.0,1.0,-0.6123244826244303,-0.5397611709597796,-0.07256331166465069,-0.14512662332930137
2018/5/10,125.36166666666666,126.735,124.87833333333333,126.10066666666667,113.16833333333334,7474979.033333333,0.07433333333333333,1.0,-0.35012882348772223,-0.5018347014653681,0.1517058779776459,0.3034117559552918
2018/5/11,126.119,127.33733333333333,125.47800000000001,126.65033333333332,113.71666666666667,7287622.366666666,0.024333333333333332,1.0,-0.09686674877771395,-0.42084111092783727,0.3239743621501233,0.6479487243002466
